word,acrostic,corrected_acrostic
도서관,"도: 도서관의 책은 많은 지식과 경험을 담고 있네. 서: 서류와 책이 가득한 장소로, 공부하는 곳인 줄 알아. 관: 그림책, 전자책, 다양한 책들이 관찰할 수 있는 곳이야.",도: 도서관의 책은 많은 지식과 경험을 담고 있네 서: 서류와 책이 가득한 장소 관: 관리자가 필요해
음식,음: 은근한 향기가 느껴지네 식: 식탁위의 사랑을 나눠,음: 음식점에서 식: 식사를 합시다
강의실,"강: 강렬한 멜로디가 공기를 물들인다, 의: 우정과 지식이 함께 있는 곳, 실: 스물 아홉 학생들의 열린 마음.",강: 강의실은 의: 의욕 넘치는 학생들이 모여 실: 실력을 키우는 곳
유튜브,"유: 유튜버들의 발레를 보며 즐겁게, 튜: 튀어나온 개그가 이목을 끄네.",유: 유튜버들이 튜: 튜브에 올라타 브: 브이로그를 찍고 있다
인천,"인: 이국적인 도시의 인사, 천: 천영미에 담긴 바다. (삼행시 형식은 예시와 다를 수 있습니다.)",인: 인간의 가면을 쓴 천: 천사
감자,"가: 감자탕의 맛있는 향기가, 마: 매끄럽고 부드러운 내면을. 자: 전 세계를 아우르는 평등함이.",감: 감자탕의 맛있는 향기가 자: 자욱하게 퍼져있다
축구,"축: 축복의 축구공을 들고, 구: 구현할 수 있는 꿈은, 고: 고향의 축구 선수들의 기쁨.",축: 축복을 구: 구걸하지 마라
꽃집,"꽃: 꽃이 피어내는 햇살, 집: 집콤중인 나의 시원한 마음.",꽃: 꽃이 피어나는 햇살에도 불구하고 집 : 집에서 쉬는 게 최고야
악몽,악: 악몽 같은 나의 두려움 괴: 고통 스며가는 밤 모: 목숨을 건지게 해서,악: 악몽 같았던 몽: 몽골군의 침략
강아지,"가: 거울 앞의 강아지는, 녀: 눈빛이 반사한다. 지: 자라면 세상에 나서, 이: 이제는 우리 곁을 지켜.",강: 강가에서 아: 아리따운 여인이 지: 지갑을 잃어버렸다
사과,사: 상쾌한 아침에 과: 과자가 달콤하게 반겨주네.,사: 사장님이 과: 과장님을 혼냈다
사과,사: 사장님이 과: 과장님을 혼냈다. 과: 과일의 향기가 가득한 곳에서 구: 구경할만한 추억을 만들고 다: 단 하나의 맛있는 순간도 간직해.,사: 사장님이 과: 과장님을 혼냈다
학교,"""학교 -> 학: 학생들이 열심히 공부하는 곳, 교: 교실에서 수업이 진행되며, 학교: 학교의 미래를 위해 노력해""",학: 학생들이 열심히 공부하는 곳 교: 교실에선 수업이 진행되고 있다
학교,"학교 -> 학: 학생들이 열심히 공부하는 곳, 교: 교실에서 수업이 진행되며, 학교: 학교의 미래를 위해 노력해",학: 학생들이 열심히 공부하는 곳 교: 교실에선 수업이 진행된다
우주,"우: 우주에 달성하기를 바라는 마음, 주: 전지전능한 신의 존재를 믿는다.",우: 우주를 감싸는 수많은 별 주: 주체할 수 없는 아름다움
